,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,bound sulfur dioxide,free sulfur dioxide,pH,sulphates,alcohol
1797,7.4,0.18,0.36,13.1,0.056,91.0,72.0,3.42,0.35,9.1
1748,6.8,0.33,0.44,7.0,0.05,126.0,29.0,3.14,0.42,9.5
3200,6.0,0.25,0.4,5.7,0.052,96.0,56.0,3.16,0.88,10.5
1348,7.6,0.31,0.49,13.4,0.062,141.0,50.0,3.22,0.53,9.0
2356,6.5,0.17,0.31,1.5,0.041,87.0,34.0,3.06,0.46,10.5
1126,7.6,0.19,0.42,1.5,0.044,108.0,6.0,3.04,0.74,12.8
5295,6.6,0.27,0.33,1.4,0.042,159.0,24.0,3.29,0.46,10.7
5869,7.7,0.26,0.4,1.1,0.042,51.0,9.0,2.89,0.5,10.6
5267,7.7,0.3,0.42,14.3,0.045,168.0,45.0,3.18,0.63,9.2
4905,6.8,0.26,0.44,8.2,0.046,131.0,52.0,3.2,0.51,9.4
822,6.5,0.14,0.33,7.6,0.05,136.0,53.0,3.25,0.49,8.6
4912,8.3,0.27,0.34,10.2,0.048,68.0,50.0,3.18,0.51,10.3
4083,8.3,0.22,0.34,1.1,0.043,96.0,20.0,3.0,0.47,10.2
1144,6.6,0.25,0.31,12.4,0.059,129.0,52.0,3.51,0.47,9.8
4088,6.5,0.29,0.32,3.0,0.036,55.0,38.0,3.16,0.59,12.0
4049,5.6,0.18,0.3,10.2,0.028,103.0,28.0,3.49,0.42,10.8
2986,5.8,0.18,0.28,1.3,0.034,85.0,9.0,3.21,0.52,11.2
1833,7.7,0.28,0.35,15.3,0.056,86.0,31.0,3.27,0.5,9.6
4285,5.9,0.32,0.26,1.5,0.057,124.0,17.0,3.24,0.36,10.7
5789,6.9,0.39,0.4,4.6,0.022,14.0,5.0,3.31,0.37,12.6
2618,7.0,0.13,0.37,12.85,0.042,69.0,36.0,3.05,0.55,10.7
2502,6.7,0.42,0.46,9.7,0.054,167.0,67.0,3.23,0.5,9.0
4774,6.2,0.24,0.22,7.9,0.053,104.0,45.0,3.23,0.52,9.3
3620,5.3,0.23,0.56,0.9,0.041,95.0,46.0,3.16,0.62,9.7
1438,7.2,0.25,0.28,14.4,0.055,150.0,55.0,3.12,0.38,9.0
1821,6.0,0.28,0.22,12.15,0.048,121.0,42.0,3.2,0.46,10.1
2750,6.8,0.39,0.34,7.4,0.02,95.0,38.0,3.18,0.44,12.0
3845,7.6,0.31,0.52,13.2,0.042,87.0,61.0,2.98,0.47,9.1
3017,6.9,0.24,0.23,7.1,0.041,77.0,20.0,3.1,0.85,11.4
4428,7.2,0.15,0.39,1.8,0.043,138.0,21.0,3.52,0.47,10.0
4213,5.0,0.24,0.19,5.0,0.043,84.0,17.0,3.67,0.57,10.0
4615,7.1,0.21,0.27,8.6,0.056,85.0,26.0,2.95,0.52,9.5
5357,7.8,0.25,0.34,13.7,0.044,118.0,66.0,3.22,0.75,8.9
344,6.9,0.49,0.24,1.2,0.049,112.0,13.0,3.17,0.51,9.4
1181,6.6,0.56,0.16,3.1,0.045,64.0,28.0,3.12,0.35,9.1
3743,6.4,0.29,0.18,15.0,0.04,95.0,21.0,3.14,0.5,9.2
1824,7.0,0.35,0.24,1.9,0.04,123.0,21.0,3.35,0.38,11.0
1858,7.4,0.19,0.3,12.8,0.053,180.5,48.5,3.14,0.49,9.1
3121,6.2,0.47,0.19,8.3,0.029,118.0,24.0,3.22,0.45,12.3
2422,5.5,0.15,0.32,14.0,0.031,83.0,16.0,3.26,0.38,11.5
3838,6.8,0.24,0.29,2.0,0.044,81.0,15.0,3.23,0.64,10.4
2291,7.1,0.15,0.34,1.0,0.033,46.0,27.0,3.24,0.41,12.2
973,6.8,0.32,0.18,7.5,0.041,152.0,71.0,3.14,0.41,8.9
5472,5.8,0.2,0.34,1.0,0.035,46.0,40.0,3.5,0.42,11.7
3719,7.1,0.38,0.42,11.8,0.041,161.0,32.0,3.04,0.49,10.0
5968,6.8,0.32,0.34,6.0,0.05,124.0,5.0,3.19,0.4,9.1
2793,7.9,0.34,0.44,6.5,0.027,79.0,47.0,2.96,0.37,12.5
2081,6.8,0.26,0.43,11.75,0.045,145.0,53.0,3.26,0.55,9.5
2249,7.1,0.2,0.3,0.9,0.019,24.0,4.0,3.2,0.36,12.0
945,5.9,0.415,0.13,1.4,0.04,53.0,11.0,3.29,0.52,10.5
376,6.6,0.52,0.44,12.2,0.048,191.0,54.0,3.26,0.54,9.3
3580,7.4,0.36,0.32,1.9,0.036,92.0,27.0,3.15,0.49,11.2
273,7.2,0.21,0.41,1.3,0.036,52.0,33.0,3.17,0.51,10.4
5972,6.0,0.21,0.3,8.7,0.036,80.0,47.0,3.18,0.39,10.6
276,6.3,0.23,0.3,1.8,0.033,75.0,16.0,3.28,0.4,11.8
4443,6.2,0.32,0.5,6.5,0.048,125.0,61.0,3.19,0.45,9.6
5557,7.6,0.48,0.37,1.2,0.034,52.0,5.0,3.05,0.54,10.4
4848,7.6,0.26,0.47,1.6,0.068,50.0,5.0,3.1,0.45,9.6
2447,6.6,0.17,0.3,1.1,0.031,60.0,13.0,3.17,0.58,11.0
3098,5.3,0.36,0.27,6.3,0.028,92.0,40.0,3.37,0.4,11.6
409,5.8,0.25,0.24,13.3,0.044,96.0,41.0,3.34,0.42,9.5
2245,7.1,0.2,0.3,0.9,0.019,24.0,4.0,3.2,0.36,12.0
4495,6.5,0.32,0.23,8.5,0.051,118.0,20.0,3.03,0.42,10.7
5554,7.2,0.14,0.35,1.2,0.036,58.0,15.0,3.46,0.39,9.9
1640,7.0,0.12,0.19,4.9,0.055,100.0,27.0,3.29,0.41,9.4
5760,6.6,0.37,0.24,2.0,0.064,97.0,23.0,3.32,0.54,9.4
4108,6.1,0.19,0.37,2.6,0.041,75.0,24.0,3.18,0.5,10.9
1197,7.3,0.25,0.36,13.1,0.05,165.0,35.0,3.04,0.46,8.9
75,7.5,0.17,0.32,1.7,0.04,97.0,51.0,3.21,0.44,11.5
2115,6.6,0.33,0.24,16.05,0.045,116.0,31.0,3.08,0.52,9.2
2354,6.9,0.23,0.32,16.4,0.045,91.0,62.0,3.22,0.42,10.5
4887,6.9,0.3,0.21,15.7,0.056,110.0,49.0,3.11,0.48,9.0
1287,9.2,0.18,0.49,1.5,0.041,91.0,39.0,3.04,0.49,9.8
1378,6.5,0.44,0.49,7.7,0.045,153.0,16.0,3.11,0.37,8.7
314,7.2,0.27,0.27,2.4,0.048,119.0,30.0,3.1,0.51,9.2
2944,6.5,0.43,0.28,11.25,0.032,56.0,31.0,3.02,0.38,12.4
4344,6.3,0.23,0.49,7.1,0.05,143.0,67.0,3.23,0.34,9.5
1037,8.2,0.37,0.36,1.0,0.034,76.0,17.0,3.04,0.32,11.7
917,5.2,0.24,0.45,3.8,0.027,107.0,21.0,3.55,0.49,11.2
1406,6.6,0.46,0.49,7.4,0.052,165.0,19.0,3.11,0.38,9.0
5376,6.1,0.28,0.32,2.5,0.042,195.5,23.0,3.27,0.6,9.8
1805,8.1,0.24,0.33,10.2,0.048,95.0,46.0,3.16,0.48,10.3
4172,6.8,0.3,0.33,12.8,0.041,108.0,60.0,3.1,0.56,9.8
3251,7.5,0.24,0.31,13.1,0.05,154.0,26.0,3.05,0.53,9.1
5275,6.6,0.28,0.41,7.0,0.046,135.0,59.0,3.14,0.48,9.4
2246,7.2,0.2,0.36,2.5,0.028,135.0,22.0,3.48,0.49,10.6
4880,6.9,0.4,0.56,11.2,0.043,102.0,40.0,3.14,0.46,8.7
3516,6.7,0.28,0.34,8.9,0.048,79.0,32.0,3.25,0.54,11.0
219,6.2,0.24,0.35,1.2,0.038,145.0,22.0,3.1,0.48,10.6
1887,6.6,0.25,0.42,11.3,0.049,154.0,77.0,3.24,0.52,9.5
190,8.3,0.28,0.4,7.8,0.041,156.0,38.0,3.34,0.51,9.6
3860,6.4,0.29,0.21,9.65,0.041,83.0,36.0,2.99,0.34,10.93333333
1558,8.2,0.42,0.29,4.1,0.03,69.0,31.0,3.0,0.32,12.8
1185,5.6,0.49,0.13,4.5,0.039,99.0,17.0,3.42,0.9,13.7
686,6.6,0.56,0.22,8.9,0.034,106.0,27.0,3.2,0.51,9.1
3598,5.7,0.25,0.26,12.5,0.049,53.5,52.5,3.08,0.45,9.4
2971,6.6,0.24,0.3,11.3,0.026,66.0,11.0,3.13,0.55,12.8
5730,5.7,0.26,0.24,17.8,0.059,101.0,23.0,3.3,0.5,10.1
2924,7.6,0.17,0.27,4.6,0.05,75.0,23.0,3.08,0.47,9.5
669,6.9,0.24,0.33,12.5,0.046,106.0,47.0,3.28,0.77,9.6
2762,5.7,0.16,0.26,6.3,0.043,85.0,28.0,3.06,0.58,9.9
1451,6.7,0.31,0.42,6.4,0.057,123.0,25.0,3.16,0.45,9.6
2835,6.8,0.22,0.41,6.7,0.034,77.0,39.0,3.18,0.46,11.5
2468,6.9,0.33,0.26,5.0,0.027,97.0,46.0,3.25,0.43,11.2
4892,7.1,0.46,0.23,13.7,0.045,148.0,44.0,3.11,0.53,9.4
5266,5.9,0.32,0.19,14.5,0.042,78.0,37.0,3.16,0.43,10.3
2417,6.9,0.31,0.32,1.6,0.036,80.0,34.0,3.19,0.45,11.4
1158,6.8,0.35,0.32,2.4,0.048,68.0,35.0,3.28,0.46,12.0
2725,6.3,0.35,0.26,17.6,0.061,139.0,59.0,3.11,0.49,8.8
4453,7.4,0.25,0.49,1.1,0.042,121.0,35.0,3.13,0.55,11.3
4604,8.3,0.49,0.23,6.65,0.034,152.0,6.0,3.05,0.48,11.2
5791,7.4,0.44,0.2,11.5,0.049,113.0,44.0,3.27,0.44,9.0
4204,6.0,0.17,0.36,1.7,0.042,47.0,14.0,3.22,0.54,10.8
4,7.2,0.23,0.32,8.5,0.058,139.0,47.0,3.19,0.4,9.9
74,6.9,0.21,0.33,1.8,0.034,88.0,48.0,3.25,0.41,12.6
379,5.8,0.28,0.27,2.6,0.054,126.0,30.0,3.53,0.42,12.4
3403,6.1,0.22,0.28,16.55,0.059,81.0,54.0,3.2,0.38,10.5
5377,8.2,0.24,0.3,2.3,0.05,83.0,23.0,2.98,0.5,10.0
1183,6.8,0.23,0.4,1.6,0.047,128.0,5.0,3.23,0.7,11.4
5380,7.4,0.44,0.2,11.5,0.049,113.0,44.0,3.27,0.44,9.0
4027,8.3,0.14,0.36,8.8,0.026,47.0,13.0,3.13,0.35,11.05
5052,5.5,0.17,0.23,2.9,0.039,98.0,10.0,3.28,0.5,10.0
923,8.4,0.17,0.31,6.7,0.038,103.0,29.0,3.1,0.32,10.6
1264,7.9,0.22,0.24,4.6,0.044,120.0,39.0,2.99,0.28,11.5
4940,6.7,0.22,0.22,1.2,0.038,119.0,5.0,3.1,0.37,11.2
2467,6.4,0.21,0.28,5.9,0.047,72.0,29.0,3.15,0.4,11.0
4862,6.3,0.28,0.3,3.1,0.039,91.0,24.0,3.05,0.43,8.6
2066,8.8,0.33,0.36,2.1,0.034,106.0,19.0,2.96,0.98,12.7
1837,8.2,0.21,0.32,10.65,0.053,92.0,53.0,3.17,0.48,10.2
30,6.5,0.39,0.23,5.4,0.051,124.0,25.0,3.24,0.35,10.0
2395,7.6,0.39,0.32,3.6,0.035,71.0,22.0,3.08,0.6,12.5
2627,5.4,0.22,0.29,1.2,0.045,83.0,69.0,3.76,0.63,11.0
3591,6.6,0.35,0.19,10.5,0.06,67.0,15.0,3.13,0.38,9.9
4146,6.6,0.285,0.49,11.4,0.035,80.0,57.0,3.08,0.54,8.9
1146,7.3,0.39,0.37,1.1,0.043,77.0,36.0,3.39,0.48,12.7
3942,7.3,0.3,0.25,2.5,0.045,90.0,32.0,3.18,0.54,10.3
2445,6.6,0.22,0.34,11.6,0.05,81.0,59.0,3.22,0.4,10.8
5817,8.6,0.27,0.46,6.1,0.032,28.0,13.0,2.89,0.34,10.9
4239,5.2,0.21,0.31,1.7,0.048,44.0,17.0,3.24,0.37,12.0
3651,6.6,0.23,0.32,1.5,0.041,64.0,8.0,3.22,0.39,12.7
1828,6.8,0.26,0.32,7.0,0.041,80.0,38.0,3.25,0.52,10.8
4716,7.1,0.37,0.32,1.4,0.037,99.0,27.0,3.19,0.62,12.0
4287,5.9,0.37,0.3,1.5,0.033,60.0,35.0,3.36,0.56,12.0
2294,7.0,0.23,0.33,1.0,0.043,64.0,46.0,3.04,0.65,10.8
4694,7.6,0.23,0.34,1.6,0.043,105.0,24.0,3.12,0.7,10.4
1573,7.2,0.24,0.29,2.2,0.037,65.0,37.0,3.27,0.64,11.0
4184,6.4,0.28,0.28,3.0,0.04,79.0,19.0,3.25,0.47,11.1
4643,8.0,0.27,0.24,1.2,0.044,82.0,20.0,3.28,0.42,10.9
2108,7.3,0.19,0.27,1.6,0.027,101.0,35.0,3.38,0.54,11.0
2514,6.2,0.2,0.31,1.0,0.031,51.0,22.0,3.24,0.52,11.3
5408,6.3,0.3,0.24,6.6,0.04,103.0,38.0,3.22,0.47,9.5
5434,7.0,0.31,0.35,1.6,0.063,106.0,13.0,3.22,0.5,10.7
3634,7.4,0.28,0.5,12.1,0.049,74.0,48.0,3.01,0.44,9.0
5908,6.6,0.35,0.19,10.5,0.06,67.0,15.0,3.13,0.38,9.9
4448,6.4,0.24,0.29,1.0,0.038,104.0,18.0,3.3,0.42,11.5
3989,6.8,0.2,0.25,6.2,0.052,84.0,22.0,3.09,0.54,10.8
2723,6.1,0.21,0.38,1.5,0.039,85.0,37.0,3.2,0.43,12.0
1205,8.2,0.22,0.36,6.8,0.034,78.0,12.0,3.01,0.38,10.5
65,7.4,0.18,0.3,8.8,0.064,77.0,26.0,2.94,0.56,9.3
5250,5.8,0.24,0.44,3.5,0.029,104.0,5.0,3.53,0.43,11.7
5488,6.4,0.34,0.44,8.2,0.043,147.0,54.0,3.18,0.48,9.5
2487,6.5,0.15,0.55,5.9,0.045,87.0,75.0,2.97,0.4,9.3
969,9.3,0.34,0.49,7.3,0.052,116.0,30.0,3.17,0.61,10.2
1296,8.2,0.22,0.49,9.6,0.037,101.0,53.0,3.02,0.33,10.6
3742,6.4,0.29,0.18,15.0,0.04,95.0,21.0,3.14,0.5,9.2
4356,7.2,0.4,0.49,1.1,0.048,127.0,11.0,3.01,0.42,9.3
4271,5.8,0.385,0.25,3.7,0.031,84.0,38.0,3.2,0.63,11.2
2707,6.5,0.24,0.39,17.3,0.052,104.0,22.0,3.11,0.47,9.2
1803,6.8,0.32,0.34,6.0,0.05,124.0,5.0,3.19,0.4,9.1
946,8.1,0.45,0.34,8.3,0.037,183.0,33.0,3.31,0.64,9.7
2999,6.7,0.64,0.3,1.2,0.03,58.0,18.0,3.16,0.6,12.9
4397,6.0,0.32,0.12,5.9,0.041,156.0,34.0,3.16,0.72,10.0
1553,6.7,0.27,0.3,13.9,0.029,97.0,34.0,3.36,0.5,12.0
5400,8.0,0.25,0.13,17.2,0.036,170.0,49.0,2.96,0.46,9.7
4901,7.7,0.25,0.3,7.8,0.038,129.0,67.0,3.1,0.5,10.1
2535,5.2,0.155,0.33,1.6,0.028,46.0,13.0,3.3,0.84,11.9
4578,5.8,0.34,0.21,7.2,0.041,98.0,48.0,3.16,0.49,9.8
277,6.5,0.28,0.34,9.9,0.038,103.0,30.0,3.11,0.44,9.8
1879,9.2,0.23,0.35,10.7,0.037,111.0,34.0,3.09,0.32,9.7
23,7.0,0.28,0.39,8.7,0.051,109.0,32.0,3.38,0.53,10.5
4403,6.5,0.33,0.38,8.3,0.048,106.0,68.0,3.14,0.5,9.6
5189,6.0,0.26,0.34,1.3,0.046,23.0,6.0,3.29,0.63,10.4
2866,6.6,0.38,0.36,9.2,0.061,172.0,42.0,3.31,0.56,9.4
4074,5.4,0.29,0.38,1.2,0.029,101.0,31.0,3.28,0.36,12.4
4455,6.5,0.2,0.24,9.2,0.044,125.0,25.0,3.22,0.44,10.5
2055,7.0,0.28,0.26,1.7,0.042,96.0,34.0,3.43,0.5,10.7
3753,5.7,0.18,0.26,2.2,0.023,74.0,21.0,3.07,0.54,12.3
5783,6.15,0.21,0.37,3.2,0.021,60.0,20.0,3.39,0.47,12.0
4307,6.4,0.35,0.51,7.8,0.055,124.0,53.0,3.12,0.45,9.6
2964,6.5,0.28,0.34,3.6,0.04,92.0,29.0,3.28,0.48,12.1
2749,6.1,0.17,0.42,15.1,0.033,96.0,28.0,2.87,0.47,9.5
1755,7.3,0.29,0.29,4.6,0.029,128.0,27.0,3.07,0.26,10.6
5273,10.3,0.25,0.48,2.2,0.042,136.0,28.0,3.19,0.59,9.7
1088,8.0,0.22,0.42,14.6,0.044,118.0,45.0,3.21,0.69,8.6
915,7.4,0.2,0.37,16.95,0.048,147.0,43.0,3.03,0.42,9.2
4168,6.9,0.19,0.31,19.25,0.043,129.0,38.0,2.93,0.52,9.1
639,6.9,0.18,0.38,8.1,0.049,132.0,44.0,3.3,0.54,9.8
557,7.1,0.17,0.38,7.4,0.052,133.0,49.0,3.35,0.52,9.6
1515,6.6,0.25,0.35,14.0,0.069,121.0,42.0,3.56,0.47,9.8
3774,6.6,0.21,0.3,9.9,0.041,110.0,64.0,3.07,0.5,10.1
4719,7.3,0.24,0.39,17.95,0.057,104.0,45.0,3.21,0.36,8.6
3622,6.7,0.28,0.42,3.5,0.035,62.0,43.0,3.18,0.38,12.2
5221,7.6,0.13,0.34,9.3,0.062,86.0,40.0,3.21,0.39,9.6
1949,9.4,0.42,0.32,6.5,0.027,147.0,20.0,3.08,0.43,10.6
5429,6.1,0.45,0.27,0.8,0.039,69.0,13.0,3.23,0.32,9.5
2847,7.4,0.19,0.31,14.5,0.045,154.0,39.0,3.1,0.5,9.2
607,6.0,0.3,0.44,1.5,0.046,167.0,15.0,3.5,0.52,10.4
5307,6.9,0.23,0.24,14.2,0.053,75.0,19.0,3.17,0.5,9.6
3434,6.2,0.39,0.24,4.8,0.037,93.0,45.0,3.23,0.43,11.2
5213,6.5,0.14,0.33,7.6,0.05,136.0,53.0,3.25,0.49,8.6
4073,6.4,0.3,0.33,5.2,0.05,107.0,30.0,3.26,0.58,11.1
1563,7.3,0.19,0.24,6.3,0.054,197.0,34.0,3.36,0.54,10.0
2493,6.8,0.475,0.33,3.95,0.047,65.0,16.0,3.23,0.53,13.4
1568,7.4,0.49,0.24,15.1,0.03,119.0,34.0,3.13,0.51,12.0
4030,6.9,0.28,0.37,9.1,0.037,60.0,16.0,3.05,0.54,11.1
3655,5.9,0.27,0.27,9.0,0.051,93.0,43.0,3.25,0.53,10.7
4167,6.7,0.16,0.32,12.5,0.035,138.0,18.0,2.88,0.36,9.0
883,7.2,0.21,0.37,1.6,0.049,71.0,23.0,3.16,0.48,10.9
2956,6.2,0.3,0.21,1.1,0.032,80.0,31.0,2.97,0.42,12.2
4973,7.1,0.26,0.19,8.2,0.051,134.0,53.0,3.16,0.52,9.7
4192,6.0,0.25,0.28,7.7,0.053,95.0,37.0,3.06,0.5,9.4
2266,7.8,0.17,0.23,1.7,0.029,89.0,39.0,3.37,0.41,10.7
4042,6.0,0.23,0.34,1.3,0.025,88.0,23.0,3.36,0.37,12.7
5336,6.6,0.36,0.24,0.9,0.038,57.0,15.0,3.23,0.39,11.0
3971,6.4,0.32,0.26,7.9,0.05,127.0,53.0,3.14,0.5,9.6
3729,6.1,0.38,0.14,3.9,0.06,86.0,27.0,3.07,0.34,9.2
635,5.8,0.25,0.28,11.1,0.056,130.0,45.0,3.42,0.43,9.5
4291,5.2,0.405,0.15,1.45,0.038,34.0,10.0,3.52,0.4,11.6
5777,7.4,0.24,0.29,10.1,0.05,84.0,21.0,3.13,0.35,9.5
274,6.4,0.32,0.35,4.8,0.03,67.0,34.0,3.36,0.6,12.5
3907,7.1,0.27,0.27,10.4,0.041,88.0,26.0,3.04,0.52,11.5
4372,8.2,0.38,0.49,13.6,0.042,108.0,58.0,3.1,0.54,9.4
3328,6.4,0.34,0.44,8.2,0.043,147.0,54.0,3.18,0.48,9.5
4481,6.9,0.29,0.4,19.45,0.043,120.0,36.0,2.93,0.47,8.9
1335,9.1,0.28,0.49,2.0,0.059,102.0,10.0,3.15,0.46,10.1
5745,6.9,0.3,0.36,4.5,0.054,172.0,31.0,3.4,0.57,10.4
4531,7.1,0.25,0.28,1.6,0.052,123.0,46.0,3.05,0.41,10.5
697,7.3,0.205,0.31,1.7,0.06,76.0,34.0,3.72,0.69,10.5
2177,6.7,0.54,0.27,7.1,0.049,170.0,8.0,3.16,0.38,9.4
4588,6.8,0.39,0.31,14.35,0.043,134.0,28.0,3.17,0.54,9.1
4464,7.4,0.33,0.44,7.6,0.05,187.0,40.0,3.12,0.52,9.0
5349,6.3,0.39,0.24,6.9,0.069,108.0,9.0,3.15,0.35,10.2
2330,6.9,0.31,0.32,1.2,0.024,146.0,20.0,3.05,0.54,9.8
5905,6.7,0.41,0.34,9.2,0.049,121.0,29.0,3.22,0.51,9.1
1749,6.3,0.28,0.24,8.45,0.031,140.0,32.0,3.39,0.57,9.7
840,6.1,0.24,0.27,9.8,0.062,119.0,33.0,3.31,0.47,9.5
2006,7.5,0.38,0.29,12.7,0.05,184.0,25.0,3.25,0.59,9.3
461,7.7,0.22,0.42,1.9,0.052,77.0,10.0,3.3,0.49,11.8
2480,6.0,0.17,0.29,5.0,0.028,83.0,25.0,3.14,0.34,12.3
1980,7.3,0.3,0.33,2.3,0.043,97.0,28.0,3.34,0.44,12.6
53,7.2,0.24,0.27,1.4,0.038,91.0,31.0,3.15,0.46,10.3
5688,6.3,0.35,0.26,17.6,0.061,139.0,59.0,3.11,0.49,8.8
5263,5.5,0.24,0.45,1.7,0.046,91.0,22.0,3.22,0.48,10.0
2213,6.6,0.24,0.28,1.8,0.028,93.0,39.0,3.34,0.46,11.4
4056,5.7,0.22,0.28,1.3,0.027,75.0,26.0,3.35,0.38,12.5
4497,6.6,0.28,0.41,7.0,0.046,135.0,59.0,3.14,0.48,9.4
1265,7.7,0.16,0.49,2.0,0.056,104.0,20.0,3.32,0.49,10.7
1744,7.4,0.18,0.34,2.7,0.03,77.0,30.0,2.97,0.53,11.0
4873,7.2,0.4,0.24,8.5,0.055,106.0,45.0,3.2,0.52,9.2
849,6.6,0.22,0.37,1.2,0.059,154.0,45.0,3.37,0.55,10.3
1570,7.2,0.24,0.29,2.2,0.037,65.0,37.0,3.27,0.64,11.0
5085,5.9,0.32,0.19,14.5,0.042,78.0,37.0,3.16,0.43,10.3
1530,6.4,0.33,0.24,1.6,0.054,92.0,25.0,3.36,0.5,9.3
5244,8.3,0.27,0.34,10.2,0.048,68.0,50.0,3.18,0.51,10.3
5920,5.8,0.33,0.23,5.0,0.053,77.0,29.0,3.13,0.52,9.0
4881,6.6,0.3,0.24,1.2,0.034,104.0,17.0,3.13,0.36,9.2
3946,6.3,0.39,0.22,2.8,0.048,120.0,53.0,3.24,0.45,9.8
3478,7.0,0.16,0.3,2.6,0.043,56.0,34.0,2.88,0.47,11.2
1786,8.2,0.17,0.32,1.5,0.05,84.0,17.0,3.14,0.58,9.5
5229,8.4,0.31,0.31,0.95,0.021,96.0,52.0,2.93,0.32,11.5
4125,5.9,0.18,0.28,1.0,0.037,64.0,24.0,3.29,0.55,10.65
3208,7.0,0.29,0.37,1.6,0.035,92.0,34.0,3.26,0.47,12.3
1349,9.8,0.31,0.49,15.4,0.046,106.0,13.0,3.18,0.45,9.5
3133,6.6,0.64,0.28,4.4,0.032,59.0,19.0,3.11,0.62,12.9
5411,6.9,0.23,0.24,14.2,0.053,75.0,19.0,3.17,0.5,9.6
5471,6.7,0.265,0.22,8.6,0.048,144.0,54.0,3.25,0.41,10.2
5573,6.4,0.25,0.57,1.0,0.062,101.0,21.0,3.0,0.4,9.5
657,7.2,0.23,0.19,13.7,0.052,150.0,47.0,3.12,0.53,9.0
3393,7.3,0.25,0.26,7.2,0.048,155.0,52.0,3.12,0.37,9.2
1116,9.4,0.17,0.55,1.6,0.049,80.0,14.0,3.02,0.61,10.3
4791,7.1,0.29,0.3,16.0,0.036,143.0,58.0,3.3,0.67,9.0
4115,6.5,0.51,0.25,1.7,0.048,138.0,39.0,3.28,0.57,10.56666667
3058,6.5,0.3,0.27,4.0,0.038,60.0,37.0,3.2,0.6,12.6
1578,7.0,0.24,0.25,1.7,0.042,141.0,48.0,3.25,0.42,11.4
147,7.1,0.34,0.15,1.2,0.053,122.0,61.0,3.09,0.43,9.2
4585,6.4,0.26,0.26,1.1,0.052,154.0,22.0,3.09,0.54,9.3
