,apto
1170,1
5906,0
2000,0
2200,1
4729,0
4123,1
1060,1
3857,1
21,1
2744,1
4482,0
4179,1
4548,0
2125,1
1408,0
1140,1
2298,1
3521,0
2644,1
2441,1
5393,0
309,1
2622,1
3538,1
4542,0
914,1
889,0
4295,1
710,1
4635,0
1454,0
3597,1
5126,0
2817,1
1955,1
864,1
4705,0
4178,1
3513,1
5809,0
1870,1
5147,0
2428,0
5054,0
3294,0
2549,1
5252,0
5508,0
4070,1
3067,1
2301,0
3892,0
4343,0
3604,1
1352,0
2990,1
2458,1
1336,1
3637,1
1841,1
5146,0
3977,1
3385,1
910,0
5826,0
5904,0
2732,1
3682,1
5617,0
1259,1
1304,1
1979,1
2651,1
3759,0
3750,1
1346,1
3984,1
2715,0
4957,0
5768,0
3649,1
5114,0
5490,0
3935,1
4690,0
966,1
3197,1
1667,0
662,1
2559,1
5547,0
3280,0
3639,0
1402,0
3119,1
1078,1
4325,1
3694,1
1427,0
2470,1
1685,1
3507,1
1077,0
3680,1
1376,1
4638,0
4259,1
3437,1
3739,1
3120,1
5698,0
3366,1
2460,1
5910,0
5056,0
4738,0
2667,0
156,1
199,0
2188,0
2024,1
4105,1
1420,1
3699,0
5626,0
2571,1
1382,1
294,1
855,0
3315,0
3975,0
4724,0
2869,1
3687,1
5080,0
5004,0
866,1
5043,0
787,1
3599,1
2883,0
4984,0
4896,0
1163,0
2303,1
527,0
4487,0
4100,0
4909,0
42,1
5676,0
5602,0
5219,0
4375,0
2220,0
2077,1
3842,1
5835,0
2898,1
4765,0
530,1
4521,0
34,1
4522,0
2865,1
3740,1
1669,1
5136,0
1198,1
1835,0
1435,1
3916,1
4121,1
1476,1
2746,1
4357,0
4937,0
1724,1
63,1
5042,0
1234,0
5588,0
1740,0
4804,0
5717,0
254,1
795,0
3231,1
5857,0
2025,1
1107,1
4340,0
1846,0
2093,0
545,1
514,1
2099,0
501,0
4444,0
2615,1
4676,0
3905,0
125,1
1946,0
3785,0
5611,0
3004,1
3621,1
5660,0
4018,1
3505,1
484,1
2040,1
5346,0
3553,1
2362,1
2510,1
5076,0
4263,0
1224,0
1035,1
568,1
1750,0
4304,1
2497,0
2973,1
2128,1
4290,1
2795,1
4510,0
2204,1
4602,0
4982,0
1772,0
361,1
4835,0
5271,0
194,1
4671,0
229,0
2838,1
5159,0
5478,0
5565,0
4247,1
942,0
5762,0
5864,0
547,1
963,0
4300,0
1156,1
768,0
3701,1
1613,0
5372,0
2544,1
3103,1
336,1
1367,1
1355,1
1764,1
3036,0
1771,1
1494,1
4838,0
5486,0
2187,1
2805,1
2547,1
2171,0
4659,0
2049,1
4353,0
4566,0
1147,1
2693,1
174,0
3923,1
3149,1
5279,0
4389,0
4120,1
3529,1
1634,0
98,1
4590,0
5337,0
913,1
3979,1
3710,1
27,1
4717,0
4700,0
92,1
3458,1
1093,1
2880,1
752,1
3692,1
1203,0
1932,1
5105,0
5693,0
1104,0
4839,0
731,1
554,0
5590,0
736,1
4654,0
1615,0
4292,1
3077,1
1521,1
2306,1
856,0
1851,0
4261,1
3882,1
4846,0
4348,0
3422,1
928,1
5752,0
5317,0
234,0
3132,0
4258,1
951,1
259,1
1024,1
2456,1
1498,0
1644,1
1018,1
3076,1
105,0
3757,1
2846,1
982,1
5686,0
1670,0
1518,1
493,1
87,0
1180,1
759,0
4805,0
1847,0
5785,0
2138,1
5591,0
1781,0
1526,1
4865,0
3335,0
2390,1
403,0
5862,0
1303,1
93,0
109,1
5929,0
2283,0
3837,1
5558,0
5310,0
1029,1
3253,1
191,1
5837,0
906,0
1043,1
1199,1
5289,0
3783,1
3435,1
4893,0
86,1
4860,0
3219,1
948,0
2237,1
4788,0
3259,0
5909,0
2137,1
2629,0
3859,0
869,0
871,1
5941,0
4868,0
5254,0
2603,1
1268,1
5625,0
4879,0
2853,1
43,1
4059,1
1813,0
400,1
306,1
5713,0
1765,0
600,0
1289,1
4760,0
1802,0
4270,1
5916,0
8,1
5021,0
4298,0
4077,1
5640,0
4396,0
349,0
2702,0
5945,0
148,0
5733,0
282,0
3573,1
4228,1
1262,0
1414,1
5234,0
3928,1
2905,0
5890,0
499,0
1082,1
5094,0
3586,1
3376,1
2536,1
2427,1
2085,1
214,0
3217,1
5415,0
4859,0
5058,0
4567,0
4008,1
1337,0
1539,0
754,1
4386,0
1332,1
1705,1
3679,1
3920,1
4360,0
2910,1
1441,1
4802,0
4686,0
3559,0
5863,0
4442,0
5225,0
3497,1
2053,0
236,1
875,0
5555,0
5123,0
230,1
5792,0
1377,0
5065,0
1970,1
2193,0
1388,1
4197,1
897,0
3550,0
5032,0
2907,1
106,0
3262,1
175,1
2832,1
1457,0
5542,0
2420,0
3154,1
5944,0
5897,0
3090,1
4755,0
31,1
4174,1
4437,0
3546,1
4368,0
2059,0
3656,1
3148,0
334,0
5738,0
2608,1
5714,0
4477,0
2216,0
5973,0
5468,0
4413,0
1774,1
4392,0
1141,1
1928,0
2563,1
2147,1
3811,0
4349,0
3562,1
3909,1
986,1
3894,0
979,0
4550,0
2238,0
2311,1
3015,1
5769,0
3508,1
3781,0
5540,0
3934,0
5697,0
2397,1
1995,1
4061,0
521,0
3449,0
2282,1
1150,0
3947,1
2799,1
2626,1
3329,0
4231,1
3776,1
2930,1
4253,1
1288,1
2341,0
5124,0
4062,1
4549,0
3840,1
896,1
5343,0
3551,0
3275,1
3660,1
1520,0
4180,1
2683,1
5659,0
911,0
1269,0
5354,0
2455,1
4119,1
1994,1
4622,0
2253,0
2157,0
512,0
1235,1
1094,1
1663,1
4014,1
5019,0
3693,1
1917,1
976,1
3225,1
4082,1
197,1
5427,0
17,1
1794,0
5778,0
4272,1
935,1
1415,0
5172,0
3972,0
2639,1
2309,1
2488,1
3899,0
1212,1
3007,1
3188,1
200,1
4237,1
3399,1
3185,0
3703,1
1951,1
1033,1
1442,1
5060,0
2029,0
5385,0
4650,0
1255,0
5302,0
224,0
5719,0
2345,1
2097,1
248,1
1342,1
5363,0
1537,1
4183,1
5585,0
307,1
4633,0
4188,1
139,1
1041,1
5859,0
2106,0
4416,0
2399,1
2474,1
791,1
1172,1
4407,0
4884,0
4334,1
2414,1
4306,1
5469,0
4051,1
3139,1
4845,0
926,1
4176,1
947,0
1271,1
2988,1
701,1
2724,1
3187,1
598,1
3184,1
3345,1
1687,1
3841,1
451,0
3239,0
231,1
2212,1
3654,1
3615,0
1514,1
3367,1
46,1
5034,0
707,1
3796,1
5067,0
614,0
3303,1
3061,1
3357,0
4963,0
4067,1
2376,1
2783,1
111,0
569,1
1137,1
1547,1
1087,1
1936,1
4951,0
5324,0
4390,0
4025,0
4470,0
5950,0
2709,1
500,1
613,0
1982,0
3002,0
5504,0
2722,1
1353,1
2080,1
5804,0
3274,0
178,0
3983,1
4117,0
3025,0
4773,0
1000,1
1914,1
3429,1
10,0
939,1
4422,0
2219,0
1027,1
483,0
2073,1
3933,0
577,1
631,1
1622,0
843,0
209,1
5943,0
2813,1
1839,1
4459,0
4570,0
2657,0
5600,0
3751,0
1921,1
644,1
1101,1
296,1
3402,1
1882,1
4286,1
3526,1
2695,1
435,1
5823,0
2403,1
2054,1
4476,0
3681,1
3092,1
4732,0
5256,0
2946,1
882,0
2465,0
5264,0
536,1
25,1
2600,1
72,0
3670,1
909,1
3606,1
38,0
5725,0
3843,1
4191,1
5087,0
2820,1
2418,1
4623,0
1735,0
3228,1
3414,1
1485,1
916,1
2937,1
5767,0
1328,1
907,1
4853,0
3050,1
1189,1
580,0
421,1
2773,1
2302,1
2419,0
1692,1
1031,1
4141,1
2837,1
690,1
3028,1
2214,1
4352,0
473,0
2434,1
3677,0
5450,0
2135,1
2958,1
4492,0
5962,0
1436,1
5396,0
4969,0
1211,1
2131,1
5457,0
1542,0
3945,0
3216,1
1894,1
4594,0
793,1
2685,1
944,1
3575,1
1051,1
811,1
1071,1
1460,1
4309,1
2628,1
439,0
3083,1
4962,0
4366,0
3674,1
5550,0
5045,0
2711,1
4020,1
1868,1
4753,0
5405,0
4808,0
2601,1
1582,0
685,0
1551,1
2516,0
3918,1
1941,0
2775,0
1899,1
2375,1
5614,0
5983,0
5157,0
4989,0
3285,1
523,1
1021,1
1575,1
1293,1
4054,1
5984,0
2798,1
5515,0
4332,1
2649,1
5077,0
1544,1
649,1
3408,1
1842,1
4214,1
480,1
2665,1
4983,0
2720,1
5392,0
3832,1
4205,1
4488,0
5672,0
3715,1
1659,1
2120,0
5493,0
1166,1
2043,1
1254,0
4439,0
696,1
4148,0
4851,0
311,1
5249,0
2917,1
1676,1
5616,0
134,1
981,0
952,0
4016,1
3269,1
594,1
517,1
2091,1
2462,0
4741,0
418,1
2729,1
774,1
2768,1
1639,0
717,1
1445,1
2925,1
5528,0
4320,1
1240,1
2550,1
1557,0
2014,1
3457,0
3908,1
5707,0
5888,0
3640,0
2277,0
1492,1
3330,1
4446,0
558,0
3745,0
1396,1
4234,1
399,0
1533,0
3396,1
3094,1
1915,1
5989,0
2039,1
2015,0
4296,1
3886,0
2979,1
211,1
3224,1
5145,0
972,0
1855,0
5974,0
2169,1
1942,0
4133,1
2475,1
2098,0
4894,0
4278,1
4078,1
2589,1
4379,0
682,0
590,1
4779,0
3853,1
2218,0
2069,1
989,0
2373,1
5204,0
2874,1
5711,0
5483,0
4553,0
3453,0
3302,1
1852,1
4362,0
371,1
4351,0
3819,0
4354,0
504,1
698,0
5576,0
3016,1
2060,1
5253,0
1922,0
5040,0
2002,0
1135,1
4885,0
2489,1
2713,0
2718,1
3388,1
1463,1
4757,0
5529,0
3229,1
2255,1
2057,0
5362,0
1030,1
5806,0
28,1
4431,0
1437,0
3368,1
812,1
5171,0
767,0
2334,0
636,1
2566,0
250,1
1086,1
5937,0
562,0
3707,1
5594,0
4256,1
836,0
5464,0
4584,0
5008,0
4501,0
1968,0
1741,1
2477,1
1263,1
3310,0
4897,0
2499,1
1252,1
1817,0
94,0
692,1
2192,0
5643,0
5860,0
3611,1
5780,0
748,1
232,0
4373,0
2586,1
2760,1
4657,0
317,1
1157,1
4226,1
1245,0
956,1
1223,0
4812,0
2342,0
1752,0
3855,1
3468,1
2027,1
113,1
3043,0
5687,0
5062,0
3664,1
3174,0
1503,1
509,1
3738,1
4013,1
490,1
408,1
4032,1
3613,1
5641,0
4294,0
3768,1
5188,0
744,1
4199,0
2351,1
5321,0
3948,1
3411,1
1633,1
5532,0
5481,0
5878,0
3662,1
1985,1
343,1
4359,0
331,0
2920,1
5288,0
3957,1
2640,1
4068,1
5618,0
2555,0
3991,1
1666,0
5141,0
2381,1
4473,0
4558,0
2756,1
242,0
5814,0
5604,0
808,1
5006,0
4347,0
1502,1
2215,0
183,1
4701,0
3451,0
383,0
4858,0
1787,1
1110,1
705,1
2094,1
5149,0
1699,1
3506,1
3970,0
115,1
4736,0
3097,0
5742,0
2,1
2642,0
2267,1
3488,1
5222,0
5583,0
2012,0
4543,0
4785,0
5294,0
2540,0
2374,1
5562,0
5128,0
1747,0
2208,0
5007,0
5047,0
5226,0
4468,0
5475,0
4001,1
887,0
3143,1
4504,0
1416,1
2845,1
3034,1
5220,0
2062,1
4608,0
3534,1
2189,1
3831,1
3582,1
2056,1
5949,0
3405,0
5179,0
227,1
924,0
734,0
4703,0
5096,0
3623,1
2782,1
4768,0
1466,1
904,0
5143,0
280,1
5655,0
3199,1
1844,1
548,1
1816,1
1618,1
5696,0
5723,0
3233,1
4513,0
5448,0
1689,1
1162,1
2273,1
1309,1
3820,1
1084,0
2233,0
1042,0
2643,1
3257,0
1567,1
3806,1
4617,0
5449,0
678,1
2438,1
3343,1
687,1
4664,0
5500,0
3572,0
784,0
192,1
5403,0
4302,0
3344,0
5595,0
5567,0
3570,1
1151,1
1611,0
1672,0
5259,0
1161,1
2591,1
5987,0
4959,0
5771,0
5759,0
1767,0
4977,0
387,1
5520,0
3870,1
5612,0
5166,0
3854,0
4648,0
37,1
3961,0
295,1
2624,0
1219,1
2343,1
3455,1
5233,0
749,0
850,1
4380,0
5506,0
4769,0
2919,1
89,0
448,1
2565,1
960,1
4301,0
2145,0
4107,1
2211,1
1139,1
2411,0
4516,0
4628,0
3150,0
103,0
4527,0
5133,0
2828,1
751,1
2576,1
3830,0
373,1
4649,0
610,1
4525,0
3944,1
1819,0
4641,0
1251,1
4644,0
3588,1
5678,0
1311,1
1920,0
4744,0
3520,1
4129,1
3135,1
60,1
925,1
3589,1
2699,1
4631,0
364,0
4326,1
2210,0
5549,0
829,1
4872,0
1364,1
2886,0
3371,1
3420,0
3380,0
3060,1
2891,1
155,0
2130,1
4762,0
4002,1
4385,0
3524,1
176,1
100,1
3484,1
4546,0
5165,0
1997,1
1134,0
3630,1
667,0
5677,0
1465,1
1310,1
4080,1
466,1
66,0
1796,0
1728,0
5313,0
2852,1
4265,1
3117,1
1405,0
2067,0
5632,0
150,0
3010,1
684,0
949,1
4198,1
3261,0
1450,0
1609,0
546,1
5132,0
1294,1
3498,1
3317,0
2759,1
2921,1
2970,1
5615,0
4026,1
974,0
4614,0
1859,1
3000,1
4685,0
5371,0
1934,0
4903,0
3565,1
4953,0
4475,0
1243,1
4996,0
688,1
5861,0
5055,0
2532,1
4498,0
338,1
1660,0
5452,0
1675,0
2259,1
1248,1
342,1
1308,1
1319,1
2384,0
2909,1
5383,0
2292,1
2660,0
4634,0
267,1
1857,0
5432,0
1504,1
884,0
5202,0
1506,0
3323,1
5636,0
5433,0
2638,0
5223,0
1561,0
622,0
5303,0
1989,1
3364,0
1375,1
96,0
1943,0
5819,0
5854,0
3531,1
2405,1
4613,0
1040,1
5366,0
1621,1
3713,1
785,0
3284,1
5638,0
1601,0
2404,1
3040,1
2389,1
1953,1
4260,1
2987,1
3911,0
2938,1
1548,0
2149,0
3924,1
3039,1
5312,0
2619,1
828,1
2843,0
3464,0
1267,1
3724,0
719,1
3814,1
1566,1
1937,0
4217,1
1766,0
3256,1
346,0
4922,0
2981,1
658,1
5931,0
5296,0
2784,1
1284,0
5895,0
5662,0
374,1
5653,0
1233,0
5443,0
5309,0
2733,1
3063,1
271,1
3533,1
3917,1
5781,0
1159,1
900,1
2770,0
2335,0
3153,1
5194,0
1253,1
1424,1
2873,1
2680,1
3686,1
621,1
4243,0
5699,0
3788,1
2279,1
5765,0
4371,0
4665,0
2961,1
2524,1
5868,0
3336,1
3482,1
927,1
1876,1
1929,0
3470,1
1972,1
4871,0
2932,1
873,1
1295,1
5197,0
4336,1
2675,0
515,1
3062,1
941,1
609,1
3833,1
2908,1
995,0
3809,1
1372,1
798,0
1641,0
615,1
4800,0
1167,0
579,1
3297,1
5830,0
3093,1
585,1
868,1
1714,1
2247,1
4600,0
2432,0
1428,0
680,0
1662,0
2807,0
1873,1
3085,0
5352,0
4207,1
1325,1
1808,0
5407,0
4529,0
1975,1
718,0
1142,0
3930,1
4149,1
5091,0
4605,0
5476,0
5090,0
4663,0
3245,1
4624,0
3158,1
3986,1
3218,1
4299,1
4821,0
4662,0
1608,0
5991,0
1230,1
5092,0
1528,1
1096,1
1186,1
1210,1
5051,0
5206,0
4964,0
513,1
5810,0
1665,0
1277,1
1918,1
4809,0
5181,0
1729,1
3074,1
2736,1
292,1
1380,1
3014,0
2941,1
3887,0
3558,0
2501,1
1417,0
478,1
1778,1
1889,1
206,0
1508,0
3522,1
2023,1
3255,1
5161,0
3704,1
2453,1
322,1
5185,0
3046,0
5881,0
3608,1
3847,1
2668,0
3726,0
994,1
4814,0
308,1
3160,0
146,1
422,1
3880,0
5947,0
5596,0
2521,1
5986,0
2803,1
818,1
291,1
3518,1
4847,0
4915,0
646,1
2383,1
2998,1
762,0
3748,1
3334,1
5193,0
5511,0
4670,0
1046,0
1897,1
377,1
1500,0
1753,0
3784,1
5323,0
1904,0
1589,1
5154,0
382,1
1412,1
2178,0
5782,0
2763,1
158,1
5215,0
1818,1
5190,0
4843,0
3198,1
4976,0
861,1
1726,1
2901,1
5120,0
1389,1
3795,0
165,0
205,1
1656,1
5442,0
1919,0
5460,0
3595,1
1455,0
3698,1
526,0
2632,1
4101,1
3733,1
6,1
1003,0
3711,0
3299,0
1619,1
5743,0
3013,1
2305,1
4673,0
588,1
3872,1
3398,0
2264,0
781,1
4393,0
5115,0
4130,1
249,1
1201,1
4530,0
3044,1
5579,0
1901,1
2962,1
5999,0
1133,0
5455,0
3125,1
1174,1
3179,0
833,1
2854,0
2822,1
3474,0
3850,1
3864,1
2369,1
4554,0
4833,0
5334,0
182,0
1354,1
1719,1
1987,0
1758,0
1580,1
1905,1
3087,1
3579,1
2070,1
4675,0
4318,1
4674,0
1783,0
819,1
369,1
862,1
2394,1
4289,1
5153,0
2167,0
140,0
2526,0
3600,0
709,1
1368,1
519,1
937,1
899,1
1896,0
3031,1
3770,1
816,1
5424,0
3011,0
133,0
5873,0
794,1
4252,1
1391,0
429,1
120,1
312,1
2164,1
1344,0
789,0
3445,0
3861,0
4920,0
5139,0
898,0
3773,0
5216,0
3138,1
3401,0
1910,1
3460,1
3452,0
3960,0
1664,1
1871,0
4917,0
5375,0
5097,0
3868,1
4250,0
1331,1
2826,1
2450,1
4599,0
3658,1
773,1
2855,1
4040,1
325,1
4095,0
3276,1
4784,0
3714,1
1756,0
3107,1
2943,1
1614,0
3440,1
4770,0
2328,1
5344,0
2398,1
2914,1
3731,1
556,0
4725,0
3416,1
2786,0
455,0
269,0
1175,1
2235,0
4381,0
1863,0
4536,0
2829,1
5522,0
4254,1
901,1
813,0
4609,0
4625,0
2172,1
2691,0
3735,1
358,1
3810,1
5736,0
1081,0
2500,1
5751,0
1065,1
1820,1
5758,0
2811,1
2895,1
5391,0
3502,1
1554,1
3922,0
1044,1
1217,0
1315,1
834,0
3827,0
1433,1
5140,0
2509,1
5291,0
1452,1
1836,1
1916,1
2742,1
345,1
2423,1
1646,1
2286,0
2671,0
2554,0
1999,1
3669,0
1933,1
3432,1
2885,1
5582,0
1605,0
2385,0
1717,1
2295,1
3057,1
116,1
5050,0
3772,1
5703,0
5152,0
3070,1
832,1
5000,0
1992,0
3808,1
605,1
1510,1
486,1
5836,0
1115,1
436,0
5795,0
5484,0
3956,1
59,0
5446,0
5005,0
3530,1
4200,1
5954,0
2922,1
99,0
1246,1
339,1
4929,0
1318,1
3341,1
4233,1
4009,0
485,1
5496,0
1238,1
4493,0
5620,0
2079,0
1555,1
1966,0
4337,1
5024,0
2542,1
5462,0
2179,0
5710,0
4811,0
1738,0
1169,1
1130,1
2645,1
4595,0
5163,0
5274,0
2928,1
1232,0
3124,1
2537,1
4999,0
3041,1
5701,0
5891,0
689,0
1322,1
2757,1
2132,0
3298,1
4904,0
5663,0
1106,1
5689,0
3962,1
1590,0
2923,1
1674,1
4474,0
2747,1
5560,0
3407,1
4581,0
3567,1
2236,0
1854,1
2767,1
4747,0
2476,1
3690,1
4737,0
39,0
2001,1
3510,1
4170,1
5325,0
4208,1
4430,0
2113,1
3155,1
5070,0
1683,0
723,0
5293,0
5257,0
1370,0
4506,0
396,1
775,1
5107,0
4159,1
3260,1
2562,1
5900,0
2337,0
1036,0
857,0
929,1
5568,0
2580,1
4220,1
2158,1
4409,0
4499,0
3427,0
872,1
184,1
4122,1
1925,1
5084,0
1598,0
460,1
3463,0
261,1
1770,1
426,1
1374,1
3717,1
5320,0
1978,1
1812,1
5942,0
2605,1
4277,0
1343,1
4895,0
4031,0
3048,1
2016,1
450,0
5523,0
1178,1
3665,1
704,1
792,1
425,1
4712,0
1923,0
2096,1
1977,1
1351,1
4702,0
4257,0
549,1
5722,0
5563,0
5518,0
494,1
5169,0
275,0
2296,1
5883,0
233,0
4817,0
4882,0
3232,0
535,0
142,1
4789,0
510,0
1969,1
3079,0
750,1
2435,0
1256,1
4891,0
4143,1
2199,1
5299,0
1298,1
5892,0
5770,0
853,1
4414,0
1814,0
1216,1
3436,1
449,1
4158,1
1019,1
1404,1
1339,0
1684,1
803,0
4094,0
4017,1
4607,0
4463,0
356,1
1616,1
5850,0
1872,0
2350,1
3609,1
782,0
1413,1
3661,1
5775,0
3290,1
3472,0
606,0
1638,1
1496,1
5402,0
5936,0
2387,1
1527,0
1620,0
695,1
4569,0
1324,1
823,1
5175,0
5081,0
3590,0
1056,0
357,1
4975,0
809,1
958,1
4526,0
5661,0
2452,1
2315,0
5543,0
4169,1
5351,0
2116,0
239,1
3207,0
3764,1
881,0
2989,0
3008,1
3319,1
2607,1
742,1
2766,1
4942,0
1789,1
3038,1
3191,1
1400,1
2903,1
724,1
3602,1
3201,1
5037,0
826,1
3583,1
4363,0
127,1
3780,1
1723,1
5156,0
2896,1
758,1
2833,1
1182,1
595,1
5932,0
2641,1
5069,0
665,1
3863,0
4720,0
1063,0
1890,0
641,0
3311,1
1696,0
1497,1
1945,1
4949,0
2972,1
985,1
3789,1
5627,0
3747,1
1592,1
902,1
2785,0
5757,0
2860,1
3852,0
4517,0
3383,0
4687,0
2269,0
5656,0
4114,1
3322,1
5122,0
1095,1
2382,1
2159,1
5417,0
5692,0
5647,0
5690,0
4007,1
1697,1
2664,1
817,1
3675,1
3355,1
172,0
3678,1
5208,0
3443,1
4850,0
5436,0
3277,0
5265,0
5198,0
3278,1
3650,0
196,1
2261,0
152,1
4799,0
3169,1
5716,0
3293,1
1751,0
5298,0
4322,1
5444,0
5705,0
2684,1
3752,0
5367,0
4039,1
5183,0
980,0
117,0
2677,1
5739,0
5035,0
4052,0
4145,0
404,1
3064,1
2561,0
1231,0
1825,1
216,0
2472,1
3537,1
424,1
3146,1
1155,0
5712,0
3273,1
4876,0
1028,0
776,1
1273,1
4462,0
204,1
5880,0
5952,0
3765,1
1652,0
591,1
1383,0
5694,0
2201,1
1136,1
2148,0
2541,0
854,0
2520,1
2672,0
1316,1
1193,1
5750,0
1188,1
651,0
1297,1
5044,0
2840,1
5526,0
3614,1
4916,0
5237,0
2026,1
2856,1
842,1
81,0
2310,0
2357,1
419,1
4968,0
3976,0
3342,0
4432,0
4502,0
1111,0
2780,1
638,1
2355,1
1762,0
3363,1
3486,0
5634,0
3528,1
5071,0
4161,1
4426,0
56,0
4693,0
2155,1
5902,0
2893,1
4795,0
2710,1
215,1
352,1
5201,0
2697,1
5668,0
5928,0
3769,1
284,1
1418,1
763,0
2494,1
2703,0
2203,1
385,1
2123,0
525,1
2186,0
1829,0
2694,1
708,1
2950,1
3312,0
3433,1
571,1
4218,0
265,1
5287,0
2674,1
518,1
3101,1
2728,1
5619,0
5535,0
415,1
2121,1
112,1
1930,1
2297,0
4991,0
3919,1
978,0
5797,0
2095,0
912,1
876,0
1848,0
1711,1
5022,0
2402,0
4776,0
4281,0
5746,0
1532,0
5911,0
4235,1
4861,0
1334,0
3235,1
1791,0
3775,0
1513,1
255,1
304,0
5815,0
1249,1
4394,0
3799,0
5993,0
1345,0
1132,1
1888,0
668,1
4704,0
5534,0
4945,0
4532,0
3466,1
278,0
1954,1
3823,1
2391,1
4316,1
1103,0
3479,0
4412,0
228,0
1628,0
443,0
2371,1
5664,0
2019,1
1974,1
5805,0
4262,1
1718,0
5358,0
996,1
1131,1
3423,1
2918,1
1237,1
894,1
3325,1
1545,0
3883,1
1347,0
4209,0
2583,1
3018,0
2486,0
2701,1
4417,0
50,1
5966,0
3800,1
1421,1
5232,0
2424,1
1064,1
1,1
4792,0
4782,0
4806,0
2529,1
5283,0
2743,1
2170,0
578,1
1350,1
3227,1
2984,1
2765,1
1653,0
2197,1
4311,1
2041,0
5796,0
3576,0
522,1
987,1
5921,0
2299,1
769,0
5536,0
5519,0
3049,1
650,1
3356,1
3628,1
445,1
814,1
477,1
932,0
1704,1
4610,0
2769,1
1541,1
4084,1
5416,0
